lat,long
42.64346846,-71.33388653
42.64346843,-71.33388652
42.64346842,-71.33388651
42.64346845,-71.33388648
42.64346841,-71.3338865
42.6434684,-71.33388653
42.64346835,-71.33388656
42.6434683,-71.3338866
42.64346829,-71.3338866
42.64346824,-71.33388659
42.64346827,-71.33388659
42.64346834,-71.33388658
42.64346837,-71.33388658
42.64346837,-71.3338866
42.64346835,-71.33388662
42.6434683,-71.33388665
42.64346829,-71.3338867
42.64346827,-71.33388673
42.64346826,-71.33388676
42.64346821,-71.33388679
42.6434682,-71.33388679
42.64346822,-71.33388675
42.64346827,-71.3338867
42.6434683,-71.33388666
42.64346831,-71.33388664
42.64346837,-71.33388662
42.64346843,-71.3338866
42.64346845,-71.33388661
42.6434685,-71.3338866
42.64346859,-71.3338866
42.64346866,-71.33388661
42.6434687,-71.33388663
42.64346873,-71.33388661
42.64346875,-71.33388666
42.64346877,-71.33388665
42.64346887,-71.33388667
42.64346895,-71.33388666
42.64346906,-71.33388663
42.64346911,-71.33388661
42.64346913,-71.3338866
42.64346912,-71.33388661
42.643469,-71.33388662
42.64346699,-71.33388951
42.64346722,-71.33389164
42.64346302,-71.33389576
42.64346281,-71.33389597
42.64346086,-71.33389527
42.64345609,-71.33389311
42.64345549,-71.33389243
42.64345262,-71.3338914
42.64345111,-71.33389099
42.64344845,-71.33389079
42.64344741,-71.3338904
42.64344497,-71.33389595
42.64343126,-71.33389951
42.64341724,-71.33390339
42.64338954,-71.33388401
42.64336273,-71.33387684
42.6433376,-71.33386357
42.64330485,-71.33383128
42.64326543,-71.3337994
42.64321426,-71.33377202
42.64314676,-71.33374348
42.64307657,-71.3337237
42.64299817,-71.33369809
42.64291096,-71.3336736
42.64282242,-71.33365184
42.64272868,-71.33362845
42.64262628,-71.33360827
42.64252546,-71.33357227
42.642429,-71.33354169
42.64233163,-71.33351758
42.6422523,-71.3334887
42.64217135,-71.33346197
42.64209072,-71.33343442
42.64200112,-71.3334068
42.64198245,-71.33337248
42.64194507,-71.33336934
42.64188253,-71.33334809
42.64187522,-71.33329274
42.64184103,-71.33324316
42.64184861,-71.33325469
42.6418445,-71.33326101
42.64183383,-71.33326149
42.64182807,-71.33329789
42.64181594,-71.33331392
42.64178024,-71.33335696
42.64176473,-71.33339928
42.641739,-71.33346489
42.64171346,-71.33356169
42.64169811,-71.33374164
42.64168062,-71.33389552
42.64166196,-71.33404927
42.6416355,-71.33418666
42.64160916,-71.33432487
42.6415802,-71.33447051
42.6415529,-71.33460453
42.64153447,-71.33474466
42.64151248,-71.33488122
42.6414855,-71.33502778
42.64145106,-71.33517303
42.64142081,-71.33531339
42.64138265,-71.33547511
42.64134023,-71.33563867
42.64130255,-71.33580664
42.64127208,-71.33598064
42.64123035,-71.33614752
42.64119324,-71.33631385
42.64115378,-71.33648053
42.64111483,-71.33664553
42.64107682,-71.33680491
42.64104148,-71.33695528
42.64100593,-71.33709975
42.64097288,-71.33722871
42.64094409,-71.33734549
42.64091986,-71.33744192
42.64089562,-71.3375239
42.6408769,-71.33759367
42.64085186,-71.33764162
42.64080303,-71.33766769
42.64076771,-71.33767937
42.64073657,-71.33768168
42.64071289,-71.33766917
42.64068878,-71.33765537
42.64066942,-71.33763091
42.64065219,-71.33759249
42.64065105,-71.33755655
42.64065386,-71.33753565
42.64065455,-71.33753793
42.64065634,-71.33753019
42.64065639,-71.33753029
42.6406601,-71.33752924
42.64066445,-71.337527
42.64066549,-71.33752449
42.64066772,-71.33752198
42.6406692,-71.33752055
42.64067093,-71.33751767
42.64067277,-71.33751598
42.64067462,-71.33751043
42.6406778,-71.33750509
42.64067918,-71.33750098
42.64067734,-71.33749665
42.64067665,-71.33749568
42.64067666,-71.33749567
42.64067559,-71.33749869
42.6406733,-71.3375015
42.64066701,-71.33750167
42.64066737,-71.33750287
42.640663,-71.33750553
42.64066043,-71.33750849
42.64065809,-71.33750903
42.64065792,-71.33750892
42.64065942,-71.33750706
42.64065921,-71.33750603
42.64065999,-71.33750361
42.64066,-71.33750361
42.64065599,-71.33749974
42.64065281,-71.33749801
42.64064956,-71.33749694
42.64064934,-71.33749811
42.64064532,-71.3374985
42.64064048,-71.3374984
42.64063642,-71.33749703
42.64063143,-71.33749584
42.64062776,-71.33749371
42.64062495,-71.33749192
42.6406241,-71.33749078
42.64062465,-71.33749032
42.64062489,-71.33749012
42.64062513,-71.33749019
42.6406253,-71.33749023
42.64062536,-71.33749026
42.64062541,-71.33749028
42.64062545,-71.33749032
42.64062559,-71.33749045
42.64062984,-71.33749658
42.64063368,-71.33750038
42.64063602,-71.3375055
42.64063605,-71.33750556
